Sistema,Classe,Quantidade,Media,Mediana,Moda,Maior_Consumo,Menor_Consumo
NORDESTE,Comercial,492,487438.13548170734,562121.4125000001,0.0,1086843.0,0.0
NORDESTE,Industrial,516,880767.494127907,869965.4269999999,90284.648,1810777.1510000003,90284.648
NORDESTE,Outros,405,459790.51077283954,572348.0,27.01,891849.545,11.02
NORDESTE,Residencial,277,1658740.0460469313,1808128.0,0.219,2810350.359,0.219
NORDESTE,Rural,358,259647.16406424582,301746.34900000005,0.0,569247.538,0.0
NORTE INTERLIGADO,Comercial,862,94102.47750928075,73314.10250000001,123.0,334937.0,106.0
NORTE INTERLIGADO,Industrial,1026,374843.9312846004,225962.5,575581.729,1471263.432,9347.807
NORTE INTERLIGADO,Outros,665,96245.11495939849,89476.622,113.432,259602.245,113.432
NORTE INTERLIGADO,Residencial,535,311409.624846729,247094.0,2.018,924109.107,2.018
NORTE INTERLIGADO,Rural,764,17080.112609947642,13538.7545,194.0,60147.97900000001,-221.0
SISTEMAS ISOLADOS,Comercial,781,26852.09572087068,923.0,95.0,157501.0,2.0
SISTEMAS ISOLADOS,Industrial,806,24548.10122208437,1002.5,18.0,189270.0,-100.0
SISTEMAS ISOLADOS,Outros,765,27369.23761960784,580.0,74.0,147973.0,0.0
SISTEMAS ISOLADOS,Residencial,740,57591.34925810811,925.4185,234.0,262437.0,81.0
SISTEMAS ISOLADOS,Rural,752,5044.918908244681,234.5,7.0,24882.0,0.0
SUDESTE / CENTRO - OESTE,Comercial,1361,784733.9929022777,261953.0,75.0,4128959.0,75.0
SUDESTE / CENTRO - OESTE,Industrial,1370,1626854.9548562043,370236.0,33753.0,8262566.295999999,921.0
SUDESTE / CENTRO - OESTE,Outros,1185,471815.77573586494,235320.0,30.0,1840601.238,26.0
SUDESTE / CENTRO - OESTE,Residencial,814,1948978.8090024572,798823.5,262.0,7598462.275,-685.35
SUDESTE / CENTRO - OESTE,Rural,963,242087.70092211838,145008.22100000002,0.0,1008349.799,0.0
SUL,Comercial,494,595264.5542793523,698842.231,5581.0,1476571.0,1020.0
SUL,Industrial,516,1307255.5534244187,1320678.5,181460.851,2978793.9960000003,181460.851
SUL,Outros,413,315745.5280217918,425298.0,137.0,597502.0,110.555
SUL,Residencial,275,1578657.8662290908,1627834.0,-128.156,3076026.2,-128.156
SUL,Rural,473,382429.868460888,400474.0,765.0,1031536.19,265.0
